code,film,revenue,budget,language,popularity,runtime,vote.average,vote.count,id,tagline,release.date,genres,certification,month_release,year_release,lustrum,log_popularity,log_revenue,time,name
10402,The Blues Brothers,115229890,27000000,en,13.763,133,7.7,2357,525,They'll never get caught. They're on a mission from God.,1980-Jun-17,"[10402, 35, 28, 80]",R,June,1980,1980-1985,2.6219838319974,18.5624397343772,genre1,Music
10402,Bedknobs and Broomsticks,17900000,20000000,en,8.705,117,7,581,12335,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!,1971-Oct-07,"[12, 14, 35, 10751, 10402]",G,October,1971,1970-1975,2.16389757322015,16.700311270811,genre5,Music
10402,Sing Street,13624522,4000000,en,13.25,106,8,1370,369557,Boy meets girl. Girl unimpressed. Boy starts band.,2016-Mar-11,"[35, 18, 10402, 10749]",PG-13,March,2016,2015-2020,2.58399755243223,16.4273818153294,genre3,Music
10402,An American Tail,84542002,9000000,en,10.259,80,6.7,788,4978,"Meet Fievel. In his search to find his family, he discovered America.",1986-Nov-21,"[18, 10751, 16, 12, 10402]",G,November,1986,1985-1990,2.32815536910558,18.2527590339202,genre5,Music
10402,Popeye,49823037,20000000,en,7.001,114,5.3,320,11335,The sailor man with the spinach can!,1980-Dec-12,"[28, 12, 35, 10402, 10751]",PG,December,1980,1980-1985,1.94605299599506,17.7239880253944,genre4,Music
10402,Sweeney Todd: The Demon Barber of Fleet Street,1.52e+08,50000000,en,18.64,116,7.1,3680,13885,Never Forget. Never Forgive.,2007-Dec-20,"[18, 27, 10402]",R,December,2007,2005-2010,2.92530980925745,18.8393910788106,genre3,Music
10402,Gimme Shelter,252570,,en,5.677,90,7.6,72,132,The music that thrilled the world ... and the killing that stunned it!,1970-Dec-06,"[99, 10402]","",December,1970,1970-1975,1.73642292418859,12.4394437169998,genre2,Music
10402,High School Musical,,4200000,en,11.77,98,6.5,3053,10947,This School Rocks Like No Other!,2006-Jan-20,"[35, 18, 10751, 10402, 10770]",G,January,2006,2005-2010,2.46555392127219,-Inf,genre4,Music
10402,Scott Pilgrim vs. the World,47664559,60000000,en,13.785,112,7.4,4445,22538,An epic of epic epicness.,2010-Aug-12,"[28, 35, 10402, 10749]",PG-13,August,2010,2010-2015,2.62358104447576,17.6796986817953,genre3,Music
10402,Whiplash,13092000,3300000,en,23.788,107,8.4,9125,244786,The road to greatness can take you to the edge.,2014-Oct-10,"[18, 10402]",R,October,2014,2010-2015,3.16918125184435,16.3875119146032,genre2,Music
10402,8 Mile,242875078,41000000,en,17.13,110,7,3999,65,Every moment is another chance,2002-Nov-08,"[18, 10402]",R,November,2002,2000-2005,2.84083131233603,19.3080577868147,genre2,Music
10402,Begin Again,63464861,8000000,en,20.348,104,7.2,2316,198277,You're only as strong as your next move.,2013-Sep-07,"[35, 18, 10402, 10749]",R,September,2013,2010-2015,3.01298262696052,17.9659969406185,genre3,Music
10402,Step Up,114194847,12000000,en,15.29,104,6.9,2509,9762,Every Second Chance Begins With a First Step,2006-Aug-11,"[80, 18, 10402, 10749]",PG-13,August,2006,2005-2010,2.72719901994097,18.5534167315762,genre3,Music
10402,Alvin and the Chipmunks: The Squeakquel,443140005,75000000,en,14.423,88,5.5,1762,23398,The Boys are back in town... and they have competition.,2009-Dec-21,"[16, 35, 14, 10402, 10751]",PG,December,2009,2005-2010,2.66882415460137,19.9093963164545,genre4,Music
10402,The Muppet Christmas Carol,27281507,12000000,en,7.745,85,7.4,507,10437,"",1992-Dec-10,"[10402, 35, 10751, 14, 18]",G,December,1992,1990-1995,2.04704747386883,17.1217196313492,genre1,Music
10402,Sid & Nancy,2826523,4000000,en,8.021,114,6.9,255,14924,Love Kills.,1986-Oct-24,"[18, 10402, 10749]",R,October,1986,1985-1990,2.08206310238479,14.8545578923366,genre2,Music
10402,Woodstock,34505110,600000,en,7.419,225,7.5,136,9459,"3 days of peace, music...and love.",1970-Mar-26,"[99, 36, 10402]",R,March,1970,1970-1975,2.00404427720739,17.3566179869755,genre3,Music
10402,Radio Days,,16000000,en,6.869,90,7.2,282,30890,"",1987-Jan-30,"[35, 18, 10402]","",January,1987,1985-1990,1.92701853523174,-Inf,genre3,Music
10402,Nashville,10,2200000,en,6.883,160,7.4,179,3121,Wild. Wonderful. Sinful. Laughing. Explosive.,1975-Jun-11,"[18, 10402, 35]",R,June,1975,1975-1980,1.92905460341623,2.30258509299405,genre2,Music
10402,"New York, New York",16400000,14000000,en,6.739,163,6.6,211,12637,The war was over and the world was falling in love again.,1977-Jun-21,"[18, 10402, 10749]","",June,1977,1975-1980,1.90791154596408,16.6127918927944,genre2,Music
10402,Another Cinderella Story,,5000000,en,11.854,90,6.6,1143,15157,Once upon a time....can happen again.,2008-Sep-16,"[35, 10402]",PG,September,2008,2005-2010,2.47266536336565,-Inf,genre2,Music
10402,Performance,,,en,6.538,106,7.1,82,26606,See them all in a film about fantasy. And reality. Vice. And versa.,1970-Aug-03,"[80, 18, 10402]",R,August,1970,1970-1975,1.87763130830202,-Inf,genre3,Music
10402,The Prince of Egypt,218613188,70000000,en,16.874,99,7.1,2252,9837,The Power Is Real.,1998-Dec-15,"[12, 16, 35, 18, 10402, 10751]",PG,December,1998,1995-2000,2.82577397574344,19.2028144612557,genre5,Music
10402,Dancer in the Dark,40031879,12800000,en,15.443,141,7.9,923,16,You don't need eyes to see.,2000-May-17,"[80, 18, 10402]",R,May,2000,2000-2005,2.73715582624086,17.5051866696623,genre3,Music
10402,High Anxiety,31063038,4015000,en,6.781,94,6.5,163,12535,The Master of Comedy takes on The Master of Suspense!,1977-Dec-25,"[35, 10402]",PG,December,1977,1975-1980,1.91412458370171,17.2515291815907,genre2,Music
10402,Tommy,34251525,5000000,en,6.425,111,6.4,164,11326,Your senses will never be the same.,1975-Mar-19,"[18, 10402]",PG,March,1975,1975-1980,1.86019663078128,17.3492416472287,genre2,Music
10402,Sister Act,231605150,31000000,en,11.502,100,6.7,1847,2005,No booze! No sex! No drugs!... No way!,1992-May-28,"[35, 10402]",PG,May,1992,1990-1995,2.44252093329156,19.2605445400307,genre2,Music
10402,Dirty Dancing,213893795,6000000,en,17.02,100,7.3,3587,88,Have the time of your life.,1987-Aug-21,"[18, 10402, 10749]",PG-13,August,1987,1985-1990,2.83438912314523,19.1809901647492,genre2,Music
10402,LelleBelle,,,nl,12.435,90,4.9,44,52371,"",2010-Oct-08,"[10402, 10749]","",October,2010,2010-2015,2.52051507725537,-Inf,genre1,Music
10402,Joseph: King of Dreams,,,en,13.184,74,6.4,510,16366,"",2000-Nov-07,"[10402, 10751, 16]",G,November,2000,2000-2005,2.57900397316712,-Inf,genre1,Music
10402,The Bodyguard,411006740,25000000,en,15.527,129,6.5,1525,619,Never let her out of your sight. Never let your guard down. Never fall in love.,1992-Nov-25,"[28, 18, 10402, 53, 10749]",R,November,1992,1990-1995,2.74258044399903,19.8341201713528,genre3,Music
10402,Pitch Perfect,115350426,17000000,en,14.998,112,7.3,4687,114150,Get pitch slapped.,2012-Sep-28,"[35, 10402, 10749]",PG-13,September,2012,2010-2015,2.7079168588792,18.5634852356852,genre2,Music
10402,Trolls,346864462,125000000,en,16.184,92,6.6,2101,136799,Find your happy place,2016-Oct-13,"[12, 16, 35, 14, 10402, 10751]",PG,October,2016,2015-2020,2.78402309986544,19.6644446621837,genre5,Music
10402,9 Songs,1574623,1000000,en,11.956,66,5.1,206,27,"2 lovers, one summer, and the 9 songs that defined them.",2004-Jul-16,"[18, 10402, 10749]",NR,July,2004,2000-2005,2.48123324442169,14.2695264365101,genre2,Music
10402,Grease 2,15171476,13200000,en,7.633,115,5.1,420,9037,The Music and Feeling go on Forever.,1982-Jun-11,"[35, 10402, 10749, 10751]",PG,June,1982,1980-1985,2.03248095281633,16.5349276438889,genre2,Music
10402,Step Up Revolution,140470746,33000000,en,10.059,99,6.9,1397,85446,One Step Can Change Your World,2012-Jul-26,"[18, 10402, 10749]",PG-13,July,2012,2010-2015,2.3084677561522,18.7605098115355,genre2,Music
10402,Michael Jackson's Thriller,,1100000,en,5.516,14,8.1,273,92060,"",1983-Nov-14,"[27, 10402]","",November,1983,1980-1985,1.70765295993106,-Inf,genre2,Music
10402,Alvin and the Chipmunks: Chipwrecked,342695435,75000000,en,16.196,87,5.6,1260,55301,This holiday it's gonna get squeaky.,2011-Dec-14,"[16, 35, 14, 10402, 10751]",G,December,2011,2010-2015,2.78476429816992,19.6523526660675,genre4,Music
10402,La La Land,445435700,30000000,en,24.659,129,7.9,11337,313369,Here's to the fools who dream.,2016-Nov-29,"[35, 18, 10749, 10402]",PG-13,November,2016,2015-2020,3.20514194541356,19.9145634622472,genre4,Music
10402,Cabaret,,6000000,en,8.052,124,7.5,479,10784,Life is a Cabaret,1972-Feb-13,"[18, 10749, 10402]",PG,February,1972,1970-1975,2.08592050777755,-Inf,genre3,Music
10402,High School Musical 3: Senior Year,252909177,11000000,en,10.725,116,6.5,2398,11887,"",2008-Oct-11,"[35, 18, 10751, 10402, 10749]",G,October,2008,2005-2010,2.37257746481408,19.3485409980518,genre4,Music
10402,Saturday Night Fever,237113184,3500000,en,9.354,118,6.7,963,11009,Catch it,1977-Dec-16,"[35, 18, 10402]",R,December,1977,1975-1980,2.23580405930369,19.2840481547196,genre3,Music
10402,Save the Last Dance,91038276,13000000,en,9.638,112,6.5,796,9816,The Only Person You Need To Be Is Yourself.,2001-Jan-12,"[18, 10402, 10749, 10751]",PG-13,January,2001,2000-2005,2.26571361821814,18.3267905914319,genre2,Music
10402,Bugsy Malone,,,en,6.497,93,6.6,132,8446,Every year brings a great movie. Every decade a great movie musical!,1976-Jul-22,"[28, 35, 18, 10402, 10751]",G,July,1976,1975-1980,1.87134053189839,-Inf,genre4,Music
10402,Bill & Ted's Bogus Journey,,,en,9.33,98,6.2,567,1649,Once... they made history. Now... they are history.,1991-Jul-19,"[12, 35, 14, 10402, 878]",PG,July,1991,1990-1995,2.23323501485925,-Inf,genre4,Music
10402,Amadeus,51973029,18000000,en,15.237,160,8,2356,279,...Everything you've heard is true,1984-Sep-06,"[18, 36, 10402]",R,September,1984,1980-1985,2.72372668048722,17.7662354689114,genre3,Music
10402,A Star Is Born,8e+07,6000000,en,6.13,139,5.9,98,19610,For anyone who has ever loved...,1976-Dec-16,"[18, 10402, 10749]",R,December,1976,1975-1980,1.81319474994812,18.1975371926382,genre2,Music
10402,Bohemian Rhapsody,894027543,52000000,en,25.047,135,8,10081,424694,Fearless lives forever,2018-Oct-24,"[18, 10402]",PG-13,October,2018,2015-2020,3.22075405987997,20.611247141388,genre2,Music
10402,"South Park: Bigger, Longer & Uncut",78608288,21000000,en,12.449,81,7.1,1608,9473,UH-OH.,1999-Jun-30,"[16, 35, 10402]",R,June,1999,1995-2000,2.52164029839965,18.1799876971331,genre3,Music
10402,Wayne's World,183097323,20000000,en,12.792,94,6.6,1327,8872,You'll laugh. You'll cry. You'll hurl.,1992-Feb-14,"[35, 10402]",PG-13,February,1992,1990-1995,2.54881997553165,19.0255283891119,genre2,Music
10402,Quadrophenia,,,en,6.2,120,7.3,125,10373,A Way of Life,1979-Sep-14,"[18, 10402]",R,September,1979,1975-1980,1.82454929205105,-Inf,genre2,Music
10402,High School Musical 2,7e+06,,en,8.691,104,6.5,2552,13649,They're facing their biggest challenge yet.......summer jobs,2007-Aug-17,"[35, 18, 10402, 10751]",G,August,2007,2005-2010,2.16228800745532,15.7614207070196,genre3,Music
10402,StreetDance 3D,18144030,5773100,en,11.593,98,6.3,246,41592,"",2010-May-19,"[18, 10402, 10749]",R,May,2010,2010-2015,2.45040146768826,16.7138521389474,genre2,Music
10402,A Star Is Born,433888866,36000000,en,22.196,136,7.5,7445,332562,"",2018-Oct-03,"[18, 10402, 10749]",R,October,2018,2015-2020,3.09991209246365,19.888298990149,genre2,Music
10402,Donkey Skin,,,fr,6.416,90,7.3,219,5590,"",1970-Dec-20,"[35, 18, 14, 10402, 10749]","",December,1970,1970-1975,1.85879487056421,-Inf,genre4,Music
10402,Fantasia 2000,90874570,80000000,en,10.603,74,7.1,736,49948,"",1999-Dec-17,"[16, 10402, 10751]",G,December,1999,1995-2000,2.36113697994366,18.3249907620323,genre2,Music
10402,Pink Floyd: The Wall,22244207,12000000,en,8.56,95,8,749,12104,The Memories. The Madness. The Music... The Movie.,1982-Jul-14,[10402],R,July,1982,1980-1985,2.14710019015365,16.9175921731265,genre1,Music
10402,Cry-Baby,8266343,11000000,en,9.692,85,6.4,857,9768,Good girls want him bad. Bad girls want him worse.,1990-Apr-05,"[35, 10402, 10749]",PG-13,April,1990,1990-1995,2.27130080295428,15.9277027684748,genre2,Music
10402,Girls Just Want to Have Fun,,,en,14.304,87,6.3,83,16263,Getting into trouble is easy but getting out of it is all the fun!,1985-Apr-12,"[35, 10402, 10749, 10751]",PG,April,1985,1985-1990,2.66053921843116,-Inf,genre2,Music
10402,Heavy Metal,546545,9300000,en,11.934,90,6.4,320,11827,A Step Beyond Science Fiction,1981-Aug-07,"[16, 878, 12, 14, 10402]",R,August,1981,1980-1985,2.47939146909989,13.2113719253863,genre5,Music
10402,Staying Alive,64892670,22000000,en,6.594,93,5.4,228,10805,Tony Manero knows the old days are over – But nobody's gonna tell him he can't feel that good again,1983-Jul-11,"[18, 10402]",PG,July,1983,1980-1985,1.88616014464954,17.9882452323066,genre2,Music
10402,Yentl,30400000,12000000,en,7.735,132,6.6,110,10269,"In a time when the world of study belonged only to men, there lived a girl who dared to ask why?",1983-Nov-18,"[18, 10402, 10749]",PG,November,1983,1980-1985,2.04575548402503,17.2299531663765,genre2,Music
10402,Phantom of the Paradise,,,en,6.462,92,7.6,283,27327,The Most Highly Acclaimed Horror Phantasy Of Our Time.,1974-Oct-31,"[35, 14, 27, 10402, 53]",PG,October,1974,1970-1975,1.86593886740231,-Inf,genre4,Music
10402,The Muppet Movie,76657000,,en,7.171,97,7.1,291,11176,Its time to play the music! Its time to light the lights!,1979-May-31,"[10402, 12, 35, 10751]",G,May,1979,1975-1980,1.97004511490044,18.1548514833132,genre1,Music
10402,This Is Spinal Tap,4736202,2500000,en,12.912,82,7.6,805,11031,Prepare to crank those amps up to eleven,1984-May-04,"[35, 10402]",R,May,1984,1980-1985,2.55815711152759,15.3707461066634,genre2,Music
10402,Sister Act 2: Back in the Habit,57319029,38000000,en,10.605,107,6.3,997,6279,"",1993-Dec-09,"[35, 10402]",PG,December,1993,1990-1995,2.36132558801665,17.8641432207947,genre2,Music
10402,Jesus Christ Superstar,13200000,,en,7.405,108,7.1,311,12545,"And now, the movie......",1973-Aug-15,"[18, 36, 10402]",G,August,1973,1970-1975,2.00215544771976,16.3957273875566,genre3,Music
10402,Pitch Perfect 2,287506194,29000000,en,27.968,115,6.8,3956,254470,We're back pitches,2015-May-07,"[35, 10402]",PG-13,May,2015,2015-2020,3.33106099947313,19.4767549623174,genre2,Music
10402,Charlotte's Web,5232000,,en,9.216,94,6.6,203,15171,That humble radiant terrific book is now a humble radiant terrific movie.,1973-Mar-01,"[16, 18, 10402, 10751]",G,March,1973,1970-1975,2.22094110395354,15.4703041721192,genre3,Music
10749,Murmur of the Heart,,,fr,9.086,118,7.1,65,42501,A souffle of a movie!,1971-Apr-27,"[35, 18, 10749]",PG,April,1971,1970-1975,2.20673476733721,-Inf,genre3,Romance
10749,Mannequin,42721196,6000000,en,9.219,89,5.7,243,10019,"Just because Jonathan's fallen in love with a piece of wood, it doesn't make him a dummy.",1987-Feb-13,"[14, 35, 10749]",PG,February,1987,1985-1990,2.22126657181646,17.570205748479,genre3,Romance
10749,A Walk in the Clouds,50012507,20000000,en,9.283,103,6.7,366,9560,A man in search. A woman in need. A story of fate.,1995-Aug-11,"[18, 10749]",PG-13,August,1995,1995-2000,2.2281847704178,17.7277836721126,genre2,Romance
10749,He's Just Not That Into You,178866158,40000000,en,14.103,129,6.4,2261,10184,Are you the exception... or the rule?,2009-Feb-06,"[35, 18, 10749]",PG-13,February,2009,2005-2010,2.6463875407101,19.0021483634521,genre3,Romance
10749,Emmanuelle II,,,fr,10.341,84,5.2,40,28209,Nothing is wrong if it feels good,1975-Dec-15,"[18, 10749]",NC-17,December,1975,1975-1980,2.33611657620284,-Inf,genre2,Romance
10749,Friends with Benefits,150483765,35000000,en,12.862,109,6.6,5281,50544,"",2011-Jul-21,"[10749, 35]",R,July,2011,2010-2015,2.55427722771267,18.8293657625803,genre1,Romance
10749,Three Wishes for Cinderella,,580000,cs,7.322,82,7.8,182,8703,"",1973-Nov-16,"[12, 18, 14, 10749, 10751]",PG,November,1973,1970-1975,1.99088351469804,-Inf,genre4,Romance
10749,You've Got Mail,250821495,65000000,en,12.165,119,6.6,1896,9489,Someone you pass on the street may already be the love of your life.,1998-Dec-17,"[35, 10749]",PG,December,1998,1995-2000,2.49856297623549,19.3402520687921,genre2,Romance
10749,Rab Ne Bana Di Jodi,,,hi,8.598,167,6.7,131,14072,"",2008-Dec-11,"[35, 18, 10749]",PG,December,2008,2005-2010,2.15152961807409,-Inf,genre3,Romance
10749,In the Mood for Love,12854953,,cn,14.139,99,8.1,1000,843,"Feel the heat, keep the feeling burning, let the sensation explode.",2000-May-22,"[18, 10749]","",May,2000,2000-2005,2.6489369366097,16.3692397425105,genre2,Romance
10749,Four Weddings and a Funeral,254700832,6000000,en,12.323,117,6.7,1493,712,Five good reasons to stay single.,1994-Mar-09,"[35, 18, 10749]",R,March,1994,1990-1995,2.51146743495599,19.3556002065325,genre3,Romance
10749,Zabriskie Point,1e+06,7000000,en,6.8,113,7.2,204,2998,How you get there depends on where you're at.,1970-Feb-09,"[18, 10749]",R,February,1970,1970-1975,1.91692261218206,13.8155105579643,genre2,Romance
10749,40 Days and 40 Nights,,17000000,en,8.434,94,5.3,647,2752,Easier said than done.,2002-Mar-01,"[35, 10749]",R,March,2002,2000-2005,2.13227115532437,-Inf,genre2,Romance
10749,Forrest Gump,677387716,55000000,en,24.907,142,8.4,16998,13,Life is like a box of chocolates...you never know what you're gonna get.,1994-Jul-06,"[35, 18, 10749]",PG-13,July,1994,1990-1995,3.21514888846057,20.3337543641416,genre3,Romance
10749,The Other Boleyn Girl,78269970,35000000,en,14.006,115,6.6,1193,12184,Two sisters divided for the love of a king.,2008-Feb-28,"[18, 10749]",PG-13,February,2008,2005-2010,2.63948580923333,18.1756745624923,genre2,Romance
10749,Father of the Bride,89325780,,en,7.596,105,6.4,737,11846,Love is wonderful. Until it happens to your only daughter.,1991-Dec-20,"[35, 10749]",PG,December,1991,1990-1995,2.02762179295004,18.3078006939935,genre2,Romance
10749,Step Up,114194847,12000000,en,15.29,104,6.9,2509,9762,Every Second Chance Begins With a First Step,2006-Aug-11,"[80, 18, 10402, 10749]",PG-13,August,2006,2005-2010,2.72719901994097,18.5534167315762,genre4,Romance
10749,The Piano,116700000,7000000,en,8.616,121,7.4,676,713,"",1993-May-19,"[18, 10749]",R,May,1993,1990-1995,2.15362093985409,18.5751170972568,genre2,Romance
10749,Alice Doesn't Live Here Anymore,,,en,8.12,112,6.9,203,16153,A picture for anyone who has ever dreamed of a second chance!,1974-Dec-09,"[35, 18, 10749]","",December,1974,1970-1975,2.09433015417359,-Inf,genre3,Romance
10749,Junior,108431355,60000000,en,8.321,109,5,815,6280,Nothing is inconceivable,1994-Nov-22,"[35, 10749, 10751]",PG-13,November,1994,1990-1995,2.11878243991829,18.5016278579118,genre2,Romance
10749,The Jewel of the Nile,96773200,25000000,en,9.634,106,6.2,586,10303,They're back again...and romancing a brand new stone.,1985-Dec-04,"[28, 12, 35, 10749]",PG,December,1985,1985-1990,2.26529850820803,18.38788065441,genre4,Romance
10749,Eternal Sunshine of the Spotless Mind,72258126,20000000,en,17.871,108,8.1,8686,38,You can erase someone from your mind. Getting them out of your heart is another story.,2004-Mar-19,"[18, 878, 10749]",R,March,2004,2000-2005,2.88317928731466,18.0957553492207,genre3,Romance
10749,Beauty and the Beast,377350553,25000000,en,26.606,84,7.7,6468,10020,The most beautiful love story ever told.,1991-Nov-13,"[16, 14, 10749, 10751]",G,November,1991,1990-1995,3.28113675426171,19.7486851621771,genre3,Romance
10749,Dr. Dolittle 2,176104344,70000000,en,9.878,87,5.1,1026,10808,The doctor is in again.,2001-Jun-22,"[35, 14, 10749, 10751]",PG,June,2001,2000-2005,2.29031006211843,18.9865872409646,genre3,Romance
10749,A Star Is Born,433888866,36000000,en,22.196,136,7.5,7445,332562,"",2018-Oct-03,"[18, 10402, 10749]",R,October,2018,2015-2020,3.09991209246365,19.888298990149,genre3,Romance
10749,Prince of Persia: The Sands of Time,335154643,150000000,en,12.372,116,6.2,4529,9543,Defy the Future,2010-May-19,"[28, 12, 14, 10749]",PG-13,May,2010,2010-2015,2.51543585482282,19.6301026041707,genre4,Romance
10749,Out of Sight,77745568,48000000,en,8.964,123,6.6,622,1389,Opposites attract.,1998-Jun-26,"[35, 80, 10749]",R,June,1998,1995-2000,2.19321655593868,18.1689521041834,genre3,Romance
10749,Twilight,393616788,37000000,en,20.682,122,6,8316,8966,"When you can live forever, what do you live for?",2008-Nov-20,"[14, 18, 10749]",PG-13,November,2008,2005-2010,3.02926375676278,19.7908883746718,genre3,Romance
10749,Dracula,215862692,40000000,en,14.398,128,7.4,2682,6114,Love never dies.,1992-Nov-13,"[27, 10749]",R,November,1992,1990-1995,2.66708930804711,19.1901530783298,genre2,Romance
10749,Claire's Knee,,,fr,5.467,105,7.4,90,2860,"",1970-Dec-11,"[18, 10749]",R,December,1970,1970-1975,1.69873001991286,-Inf,genre2,Romance
10749,High Strung Free Dance,,,en,18.427,103,7.5,107,540158,Dream big. Dance free.,2018-Sep-13,"[10749, 10751]","",September,2018,2015-2020,2.91381698035272,-Inf,genre1,Romance
10749,Fool's Gold,111231041,70000000,en,10.436,112,5.6,879,8676,This February True Love Takes a Dive.,2008-Feb-07,"[12, 35, 10749]",PG-13,February,2008,2005-2010,2.34526136727448,18.5271200465103,genre3,Romance
